Game ,Creator Name,Description,Created In,Release Date,Last Update,Age Rating,Tags,Players Now,ALL Time Peak
KILLER TYCOON ,cmsg, Level System & Mission System Unlock different Masks to wear for killing Victims in the City! Complete unique Missions to obtain special items! Buy Custom Supercars and Mobile Killers! Open the Ultra Portal to become the Tycoon King! Explore the Open World with the Subway! Spawn your own Mobile Killers on the map to get more Victims! Hack the Bank System or open the vault in the bank! Can you find all the secrets? Build your own Helicopter to find new secrets!,UEFN,"Apr 18, 2024","June 7, 2024",Teen / 12,,"2,396","18,113"
COLLAB REDvsBLUE ,ab01,26 Collab Items and Super PowersEarn Points to Rank Up to UnrealCustom Scoreboard Eliminations and Ranks Save 10 Gold Coins per EliminationReset builds & Vehicles every 15 minMade in UEFNSHOW YOUR SKILLS,UEFN,"Jun 8, 2024","June 8, 2024",Teen / 12,"team deathmatch, sandbox, battle, practice, ","3,460","3,596"
CRAZY RED VS BLUE ,rvb, All Weapons Very Fun Red Vs Blue 10 Coins Per Elimination Custom Scoreboard SAVES Eliminations CHAPTER 5 WEAPONS,UEFN,"Jun 14, 2023","June 9, 2024",Teen / 12,"team deathmatch, practice, pvp, ","36,587","163,049"
Bio's TRIO - Zone Wars,bio,"Play the legendary Bios Trio Zone Wars, the completely free 15 player Zone Wars mode.One clean map, Many cool features, Last team standing wins!LATEST UPDATE ADDED COSMETICS Secret vaultFeaturesDaily rewardsRespawn disabledAchievementsCommunity votingRecieve a crown for the winAutomatic team selectionCustomize weapons5 teamsChoose your teamRandom weapons and items + vending mashinesEliminations save",UEFN,"Apr 11, 2020","June 4, 2024",Teen / 12,"zonewars, practice, trios, pvp, ","6,058","60,798"
1v1 With Every Gun ,hive, No Locked or Paid Mythics All Weapons Available Without Waiting 24 Player Free-For-All Fun Vehicles Loadout & Eliminations Save Updated Weekly,Creative 1.0,"Jun 16, 2022","June 7, 2024",Teen / 12,"free for all, practice, pvp, respawn, ","2,288","15,862"
CRAZY RED VS BLUE ,rvb, All Weapons Very Fun Red Vs Blue 10 Coins Per Elimination Custom Scoreboard SAVES Eliminations CHAPTER 5 WEAPONS,UEFN,"Jun 14, 2023","June 9, 2024",Teen / 12,"team deathmatch, practice, pvp, ","28,842","163,049"
MUSHROOM TYCOON ,bpascteam,"X1.5 EVENT is here!Build the best Mushroom Base Beat 2 parkour challenges!Collect treasure chests on the mapDifferent pets, Boosts and TrailsFind all the secret",UEFN,"Jan 31, 2024","May 25, 2024",Teen / 12,,"8,386","8,426"
All Weapons - Free For All,mrmonkeyfn,Free For All arena with all Weapons and Perks! Eliminations and Loadouts Save! Instant Reload on Elimination! Instant Respawn!,UEFN,"Mar 31, 2023","June 3, 2024",Teen / 12,"practice, free for all, just for fun, pvp, ","3,526","67,006"
The Pit - Free For All,geerzy, Your Scoreboard Stats Save Reset Builds Every 10 min 5 Coins per Elimination All Weapons,UEFN,"Apr 19, 2020","June 5, 2024",Teen / 12,"free for all, practice, pvp, respawn, ","29,726","117,310"
Piece Control 2v2 ,bullseye, Leaderboard Intense Boxfight Piece Control Scenarios Career Leaderboard/ Arena Points Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,UEFN,"Jan 15, 2023","June 4, 2024",Teen / 12,"boxfight, practice, duo, 2v2, ","20,893","82,795"
TILTED ZONE WARS ,prettyboy, Classic Solo Zone Wars  Fun Loot & Items  Name Tags ON  Nostalgic ,UEFN,"Aug 6, 2019","June 5, 2024",Teen / 12,"practice, zonewars, pvp, free for all, ","7,553","212,530"
MINIGAME BOX PVP  50+ Minigames ,minigame, 50+ Minigames: Rising Lava Color Switch Hex-A-Gone Spin Cycle Invisible Knockback Slow-Mo Balloon Pop VOTE For Your Favorite Game!,UEFN,"Nov 9, 2023","June 9, 2024",Teen / 12,"boxfight, practice, pvp, minigame, ","5,738","62,742"
Team Rumble,epic,"Two large teams fight for the Victory Royale in an action-packed mode where the first team to get the target number of eliminations wins! Respawn on elimination is ON for the entire match, and gliders can be freely deployed whenever you are far enough from the ground.",Unknown,"Aug 3, 2021","October 1, 2021",Teen / 12,,"5,405","53,197"
All Weapons - Free For All,mrmonkeyfn,Free For All arena with all Weapons and Perks! Eliminations and Loadouts Save! Instant Reload on Elimination! Instant Respawn!,UEFN,"Mar 31, 2023","June 3, 2024",Teen / 12,,"6,976","67,006"
Festival Main Stage,epic,"Play in a band with friends or perform solo on stage with hit music by your favorite artists in Fortnite Festival! On the Main Stage, play a featured rotation of Jam Tracks. Compete against friends for the best performance or team up to climb the leaderboards. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Unknown,"Sep 12, 2022","September 12, 2022",Teen / 12,"music, party game, ","12,731","847,466"
Rocket Racing,epic,Neon Rush lights up in Rocket Racing. Test your limits on all-new Neon Rush themed tracks for Speed Run and Ranked Racing. Try the Creator Rows to race with your friends on tracks made by the UEFN creator community.,Rocket Racing,"Nov 30, 2023","December 2, 2023",Everyone / 3,,"5,628","625,683"
The Pit - Free For All,geerzy, Your Scoreboard Stats Save Reset Builds Every 10 min 5 Coins per Elimination All Weapons,UEFN,"Apr 19, 2020","June 5, 2024",Teen / 12,"free for all, practice, pvp, respawn, ","27,131","117,310"
CUSTOM WEAPONS GUN GAME,troll-king,10 CUSTOM WEAPONSTILTED GUN GAMEONESHOTRANK UP TO UNREALCOMPLETE QUESTSSUPER FUNBECOME THE BEST AMONG 20 PLAYERS,UEFN,"Jun 6, 2024","June 8, 2024",Teen / 12,"pvp, free for all, just for fun, gun game, ","5,105","58,046"
COLLAB REDvsBLUE ,ab01,26 Collab Items and Super PowersEarn Points to Rank Up to UnrealCustom Scoreboard Eliminations and Ranks Save 10 Gold Coins per EliminationReset builds & Vehicles every 15 minMade in UEFNSHOW YOUR SKILLS,UEFN,"Jun 8, 2024","June 9, 2024",Teen / 12,"team deathmatch, sandbox, battle, practice, ","9,133","13,334"
Bio's TRIO - Zone Wars,bio,"Play the legendary Bios Trio Zone Wars, the completely free 15 player Zone Wars mode.One clean map, Many cool features, Last team standing wins!LATEST UPDATE ADDED COSMETICS Secret vaultFeaturesDaily rewardsRespawn disabledAchievementsCommunity votingRecieve a crown for the winAutomatic team selectionCustomize weapons5 teamsChoose your teamRandom weapons and items + vending mashinesEliminations save",UEFN,"Apr 11, 2020","June 4, 2024",Teen / 12,,"5,802","60,798"
Ranked Zero Build,epic,"Just like traditional Zero Build, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"40,223","166,317"
MINIGAME BOX PVP  50+ Minigames ,minigame, 50+ Minigames: Rising Lava Color Switch Hex-A-Gone Spin Cycle Invisible Knockback Slow-Mo Balloon Pop VOTE For Your Favorite Game!,UEFN,"Nov 9, 2023","June 9, 2024",Teen / 12,,"7,345","62,742"
Piece Control 2v2 ,bullseye, Leaderboard Intense Boxfight Piece Control Scenarios Career Leaderboard/ Arena Points Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,UEFN,"Jan 15, 2023","June 4, 2024",Teen / 12,"boxfight, practice, duo, 2v2, ","15,325","82,795"
Festival Main Stage,epic,"Play in a band with friends or perform solo on stage with hit music by your favorite artists in Fortnite Festival! On the Main Stage, play a featured rotation of Jam Tracks. Compete against friends for the best performance or team up to climb the leaderboards. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Unknown,"Sep 12, 2022","September 12, 2022",Teen / 12,"music, party game, ","17,950","847,466"
 RED VS BLUE  RUMBLE,rvb, New All Ch5 Weapons Added ENDLESS TEAM DEATHMATCH COMBAT POWERUPS AND SECRETS  Rank up from BRONZE to UNREAL 50 Gold Coins per Elimination OP Vault Eliminations and Ranks Save,UEFN,"Mar 6, 2021","June 7, 2024",Teen / 12,"team deathmatch, capture the flag, base, action, ","4,201","26,756"
 GO GOATED! Zone Wars  *NEW WEAPONS*,theboydilly, 4 Teams Battle  Classic Zone Wars Game Select Your Team Eliminations Save ,UEFN,"Jun 2, 2021","June 5, 2024",Teen / 7,"practice, pvp, zonewars, ","33,246","111,777"
Piece Control 2v2 ,bullseye, Leaderboard Intense Boxfight Piece Control Scenarios Career Leaderboard/ Arena Points Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,UEFN,"Jan 15, 2023","June 4, 2024",Teen / 12,"boxfight, practice, duo, 2v2, ","12,115","82,795"
Ranked Zero Build,epic,"Just like traditional Zero Build, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"28,476","166,317"
Battle Royale,epic,"The battle is building!Drop into the Battle Royale. Loot, build, explore, and fight in a game of 100 players competing to be the last one standing.",Unknown,"Jun 30, 2022","June 30, 2022",Teen / 12,,"205,197","3,109,888"
PAL TYCOON ,camrin,- Mining & Harvesting - Claim Pets - Earn Keys - Keys Increase Production - Keys are saved - Boss Battle Replayable Tycoon! ,UEFN,"May 12, 2024","June 8, 2024",Teen / 12,"tycoon, simulator, boss battle, casual, ","2,198","6,621"
Bio's TRIO - Zone Wars,bio,"Play the legendary Bios Trio Zone Wars, the completely free 15 player Zone Wars mode.One clean map, Many cool features, Last team standing wins!LATEST UPDATE ADDED COSMETICS Secret vaultFeaturesDaily rewardsRespawn disabledAchievementsCommunity votingRecieve a crown for the winAutomatic team selectionCustomize weapons5 teamsChoose your teamRandom weapons and items + vending mashinesEliminations save",UEFN,"Apr 11, 2020","June 4, 2024",Teen / 12,"zonewars, practice, trios, pvp, ","5,249","60,798"
RAPPER 2 TYCOON,large_ape,Become the ultimate rap god and perform in front of thousands of fans!Upgrade your crib into a multi-level mansion in the heart of the cityHire agents to book gigs that take you from BROKE to G.O.A.T.Complete missions to discover lost records and unearth alien life forcesRule the underground to grow your empireDevelop relationships with storyline characters on your journeyUnlock all seven levels and save your progress through REBIRTHSCan you make it all the way to the top?,UEFN,"May 3, 2024","June 5, 2024",Teen / 7,"tycoon, casual, just for fun, simulator, ","2,269","11,525"
PANDVIL Box Fight (2v2) ,pandvil,"Made By PANDVIL(2 vs 2) Box Fight MatchmakingNear 0 wait between roundsRanks, Cosmetics and much moreWhen eliminated spectate OR parkourLIFETIME WIN & ELIMINATION leaderboards",UEFN,"Nov 10, 2020","June 6, 2024",Teen / 12,"boxfight, practice, duo, 2v2, ","5,104","89,676"
